Rank,Name,Industry,Revenue(USD millions),Revenue growth,Headquarters
1,Walmart,Retail,648125,6.0%,"Bentonville, Arkansas"
2,Amazon,Retail andcloud computing,574785,11.9%,"Seattle, Washington"
3,Apple,Electronics industry,383482,-2.8%,"Cupertino, California"
4,UnitedHealth Group,Healthcare,371622,14.6%,"Minnetonka, Minnesota"
5,Berkshire Hathaway,Conglomerate,364482,20.7%,"Omaha, Nebraska"
6,CVS Health,Healthcare,357776,10.9%,"Woonsocket, Rhode Island"
7,ExxonMobil,Petroleum industry,344582,-16.7%,"Spring, Texas"
8,Alphabet,Technologyand cloud computing,307394,8.7%,"Mountain View, California"
9,McKesson Corporation,Health,276711,4.8%,"Irving, Texas"
10,Cencora,Pharmacy wholesale,262173,9.9%,"Conshohocken, Pennsylvania"
11,Costco,Retail,242290,6.8%,"Issaquah, Washington"
12,JPMorgan Chase,Financial services,239425,54.7%,"New York City, New York"
13,Microsoft,Technology and cloud computing,211915,6.9%,"Redmond, Washington"
14,Cardinal Health,Healthcare,205012,13.0%,"Dublin, Ohio"
15,Chevron Corporation,Petroleum industry,200949,-18.4%,"Houston, Texas"
16,Cigna,Health insurance,195265,8.2%,"Bloomfield, Connecticut"
17,Ford Motor Company,Automotive industry,176191,11.5%,"Dearborn, Michigan"
18,Bank of America,Financials,171912,49.4%,"Charlotte, North Carolina"
19,General Motors,Automotive industry,171842,9.6%,"Detroit, Michigan"
20,Elevance Health,Healthcare,171340,9.4%,"Indianapolis, Indiana"
21,Citigroup,Financials,156820,55.1%,"New York City, New York"
22,Centene,Healthcare,153999,6.5%,"St. Louis, Missouri"
23,The Home Depot,Retail,152669,-3.0%,"Atlanta, Georgia"
24,Marathon Petroleum,Petroleum industry,150307,-16.5%,"Findlay, Ohio"
25,Kroger,Retail,150039,-3.6%,"Cincinnati, Ohio"
26,Phillips 66,Petroleum industry,149890,-14.7%,"Houston, Texas"
27,Fannie Mae,Financials,141240,16.2%,"Washington, D.C."
28,Walgreens Boots Alliance,Pharmaceutical industry,139081,4.8%,"Deerfield, Illinois"
29,Valero Energy,Petroleum industry,139001,-18.8%,"San Antonio, Texas"
30,Meta Platforms,Technology,134902,15.7%,"Menlo Park, California"
31,Verizon Communications,Telecommunications,133974,-2.1%,"New York City, New York"
32,AT&T,Conglomerateand telecommunications,122428,1.4%,"Dallas, Texas"
33,Comcast,Telecommunications,121572,0.1%,"Philadelphia, Pennsylvania"
34,Wells Fargo,Financials,115340,39.2%,"San Francisco, California"
35,Goldman Sachs,Financials,108418,57.8%,"New York City, New York"
36,Freddie Mac,Financials,108050,24.6%,"McLean, Virginia"
37,Target Corporation,Retail,107412,-1.6%,"Minneapolis, Minnesota"
38,Humana,Health insurance,106374,14.5%,"Louisville, Kentucky"
39,State Farm,Financials,104199,16.6%,"Bloomington, Illinois"
40,Tesla,Automotive and energy,96773,18.8%,"Austin, Texas"
41,Morgan Stanley,Financials,96194,45.9%,"New York City, New York"
42,Johnson & Johnson,Pharmaceutical industry,95195,0.3%,"New Brunswick, New Jersey"
43,Archer Daniels Midland,Food industry,93935,-7.5%,"Chicago, Illinois"
44,PepsiCo,Beverage,91471,5.9%,"Purchase, New York"
45,United Parcel Service,Transportation,90958,-9.3%,"Atlanta, Georgia"
46,FedEx,Transportation,90155,-3.6%,"Memphis, Tennessee"
47,The Walt Disney Company,Media,88898,7.5%,"Burbank, California"
48,Dell Technologies,Technology,88425,-13.6%,"Round Rock, Texas"
49,Lowe's,Retail,86377,-11.0%,"Mooresville, North Carolina"
50,Procter & Gamble,Consumer products manufacturing,82006,2.3%,"Cincinnati, Ohio"
51,Energy Transfer Partners,Petroleum industry,78586,-12.6%,"Dallas, Texas"
52,Boeing,Aerospaceanddefense,77794,16.8%,"Arlington County, Virginia"
53,Albertsons,Retail,77650,8.0%,"Boise, Idaho"
54,Sysco,Food service,76325,11.2%,"Houston, Texas"
55,RTX Corporation,Conglomerate,68920,2.8%,"Arlington County, Virginia"
56,General Electric,Conglomerate,67954,-11.2%,"Boston, Massachusetts"
57,Lockheed Martin,Aerospace and defense,67571,2.4%,"Bethesda, Maryland"
58,American Express,Financial,67364,21.1%,"New York City, New York"
59,Caterpillar,Machinery,67060,12.8%,"Irving, Texas"
60,MetLife,Financials,66905,-4.3%,"New York City, New York"
61,HCA Healthcare,Healthcare,64968,7.9%,"Nashville, Tennessee"
62,Progressive Corporation,Insurance,62109,25.2%,"Mayfield Village, Ohio"
63,IBM,Technology and cloud computing,61860,-16.3%,"Armonk, New York"
64,John Deere,Agriculture manufacturing,61251,16.5%,"Moline, Illinois"
65,Nvidia,Technology,60922,125.9%,"Santa Clara, California"
66,StoneX Group,Financials,60856,-7.8%,"New York City, New York"
67,Merck & Co.,Pharmaceutical industry,60115,1.4%,"Kenilworth, New Jersey"
68,ConocoPhillips,Petroleum industry,58574,-28.7%,"Houston, Texas"
69,Pfizer,Pharmaceutical industry,58496,-41.7%,"New York City, New York"
70,Delta Air Lines,Airline,58048,14.8%,"Atlanta, Georgia"
71,TD Synnex,Information Technology,57555,-7.7%,"Clearwater, Florida"
72,Publix,Retail,57534,4.7%,"Lakeland, Florida"
73,Allstate,Insurance,57094,11.1%,"Northfield Township, Cook County, Illinois"
74,Cisco,Telecom hardware manufacturing,56998,10.6%,"San Jose, California"
75,Nationwide Mutual Insurance Company,Financial,54609,6.1%,"Columbus, Ohio"
76,Charter Communications,Telecommunications,54607,1.1%,"Stamford, Connecticut"
77,AbbVie,Pharmaceutical industry,54317,-6.4%,"Lake Bluff, Illinois"
78,New York Life Insurance Company,Insurance,54317,14.2%,"New York City, New York"
79,Intel,Technology,54228,-14.0%,"Santa Clara, California"
80,TJX,Retail,49936,2.9%,"Framingham, Massachusetts"
81,Prudential Financial,Financials,53979,-10.1%,"Newark, New Jersey"
82,HP,Technology,53718,-14.5%,"Palo Alto, California"
83,United Airlines,Airline,53717,19.5%,"Chicago, Illinois"
84,Performance Food Group,Food processing,53355,13.1%,"Richmond, Virginia"
85,Tyson Foods,Food processing,52788,-0.8%,"Springdale, Arkansas"
86,American Airlines,Airline,52788,7.8%,"Fort Worth, Texas"
87,Liberty Mutual,Insurance,52612,5.3%,"Boston, Massachusetts"
88,Nike,Apparel,51217,9.6%,"Beaverton, Oregon"
89,Oracle Corporation,Technology,49954,17.7%,"Austin, Texas"
90,Enterprise Products,Petroleum industry,49715,-14.6%,"Houston, Texas"
91,Capital One Financial,Financials,49484,29.0%,"Richmond, Virginia"
92,Plains All American Pipeline,Petroleum industry,48712,-15.1%,"Houston, Texas"
93,World Kinect Corporation,Energy trading,47711,-19.2%,"Doral,Florida"
94,AIG,Insurance,46802,-17.1%,"New York City, New York"
95,Coca-Cola,Beverage,45754,6.4%,"Atlanta, Georgia"
96,TIAA,Financials,45735,11.8%,"New York City, New York"
97,CHS,Agriculture cooperative,45590,-4.6%,"Inver Grove Heights, Minnesota"
98,Bristol-Myers Squibb,Pharmaceutical industry,45006,-2.5%,"New York City,New York"
99,Dow Chemical Company,Chemical industry,44622,-21.6%,"Midland, Michigan"
100,Best Buy,Retail,43452,-6.1%,"Richfield, Minnesota"
